id,ipb100,ipb111,jam_belajar,ikk322
1,E,C,3,BC
2,D,C,1,C
3,D,BC,2,BC
4,AB,AB,8,A
5,E,BC,2,D
6,BC,B,1,A
7,BC,BC,5,C
8,E,E,3,D
9,A,AB,8,AB
10,AB,A,3,B
11,E,BC,5,BC
12,C,C,1,BC
13,E,D,2,BC
14,C,C,0,C
15,C,B,0,BC
16,AB,B,8,AB
17,B,B,4,BC
18,B,C,2,D
19,E,E,2,E
20,BC,A,6,A
21,D,C,1,B
22,B,AB,9,A
23,BC,BC,2,C
24,D,D,4,C
25,C,D,3,D
26,BC,B,10,B
27,B,AB,7,A
28,E,C,2,D
29,BC,A,1,C
30,AB,C,9,B
31,BC,BC,7,BC
32,AB,A,7,AB
33,AB,A,7,AB
34,C,C,2,C
35,A,AB,9,B
36,A,A,9,AB
37,E,BC,5,E
38,B,AB,5,AB
39,C,D,3,E
40,E,C,2,BC
41,BC,E,6,E
42,E,D,0,C
43,BC,B,6,B
44,BC,BC,5,BC
45,C,AB,5,AB
46,C,BC,7,AB
47,D,C,0,D
48,E,E,4,D
49,E,D,3,D
50,BC,B,3,A
51,A,AB,8,AB
52,AB,B,4,B
53,AB,AB,7,AB
54,C,C,7,E
55,D,C,2,BC
56,A,AB,9,AB
57,C,BC,6,AB
58,D,C,5,C
59,C,BC,4,E
60,BC,E,5,E
61,D,D,4,D
62,BC,E,6,E
63,D,C,6,BC
64,BC,BC,5,BC
65,C,BC,0,AB
66,C,C,10,B
67,C,BC,4,B
68,BC,BC,7,B
69,A,A,8,A
70,D,C,2,C
71,BC,BC,0,B
72,C,BC,8,B
73,BC,BC,4,BC
74,B,C,7,BC
75,A,AB,9,AB
76,BC,BC,1,C
77,BC,BC,3,A
78,AB,BC,5,B
79,A,A,8,B
80,C,D,3,D
81,B,A,10,AB
82,A,B,8,AB
83,C,BC,2,B
84,E,BC,3,B
85,B,C,9,B
86,D,D,6,D
87,A,AB,8,AB
88,AB,AB,6,AB
89,C,BC,3,C
90,C,BC,9,AB
91,B,AB,6,A
92,E,BC,5,BC
93,B,BC,7,BC
94,BC,BC,8,B
95,BC,A,7,AB
96,B,AB,8,AB
97,B,B,6,AB
98,E,E,4,E
99,BC,C,6,D
100,A,B,8,B
101,D,D,5,D
102,BC,A,1,AB
103,BC,A,9,B
104,C,BC,6,E
105,BC,B,9,A
106,B,AB,3,A
107,AB,AB,7,AB
108,BC,D,0,C
109,A,BC,9,BC
110,BC,C,0,C
111,E,D,1,E
112,D,E,1,BC
113,D,C,8,D
114,A,BC,6,B
115,BC,C,0,E
116,B,B,8,B
117,BC,B,5,B
118,B,B,6,B
119,BC,A,7,A
120,C,AB,5,A
121,AB,A,9,A
122,A,AB,9,A
123,E,E,4,D
124,A,BC,6,C
125,B,B,0,B
126,D,D,2,E
127,BC,A,2,A
128,C,BC,4,BC
129,D,C,1,C
130,E,E,4,BC
131,C,D,3,C
132,AB,AB,7,AB
133,BC,C,3,BC
134,C,C,5,D
135,E,D,1,BC
136,AB,AB,7,AB
137,B,B,7,AB
138,C,C,5,BC
139,BC,BC,1,B
140,BC,BC,2,BC
141,B,AB,10,B
142,BC,D,10,C
143,E,BC,3,B
144,BC,BC,5,A
145,B,B,7,AB
146,D,D,3,BC
147,B,BC,3,BC
148,C,D,7,BC
149,C,D,4,D
150,BC,AB,6,AB
151,BC,C,1,BC
152,BC,AB,8,AB
153,BC,B,5,AB
154,D,D,1,C
155,A,B,5,C
156,AB,BC,9,BC
157,AB,AB,4,A
158,B,B,1,A
159,BC,BC,3,BC
160,D,C,2,E
161,BC,B,3,AB
162,AB,A,9,AB
163,BC,C,3,D
164,C,BC,7,AB
165,A,AB,7,A
166,B,A,7,AB
167,C,D,7,C
168,C,D,3,BC
169,B,AB,9,AB
170,B,B,9,AB
171,D,D,0,C
172,B,B,9,B
173,B,BC,6,E
174,C,BC,5,BC
175,BC,C,2,C
176,AB,AB,1,BC
177,C,E,2,D
178,A,C,8,B
179,AB,B,0,B
180,AB,AB,9,B
181,BC,C,2,C
182,C,C,0,D
183,E,D,3,BC
184,E,D,3,C
185,BC,BC,9,B
186,D,D,2,BC
187,C,D,4,C
188,BC,BC,5,A
189,BC,B,6,AB
190,C,C,7,AB
191,A,A,9,A
192,BC,AB,5,A
193,C,B,2,AB
194,D,BC,2,D
195,C,C,3,C
196,C,B,1,BC
197,D,C,2,E
198,BC,C,2,BC
199,C,C,2,E
200,E,D,1,D
201,AB,C,7,B
202,C,BC,6,E
203,A,A,8,A
204,C,C,7,C
205,D,E,5,BC
206,B,B,7,AB
207,BC,BC,4,B
208,D,E,3,BC
209,D,E,3,D
210,B,A,9,AB
211,C,E,1,BC
212,C,B,6,AB
213,A,A,8,AB
214,B,C,2,BC
215,D,D,4,E
216,C,AB,9,B
217,BC,A,10,A
218,B,B,9,AB
219,C,D,1,E
220,BC,BC,2,BC
221,BC,C,1,D
222,B,B,6,C
223,BC,B,9,B
224,D,BC,2,C
225,C,C,6,D
226,E,E,0,E
227,A,A,10,B
228,AB,C,6,C
229,D,E,1,BC
230,E,D,3,E
231,BC,B,10,AB
232,E,D,5,D
233,A,BC,1,C
234,BC,BC,1,AB
235,BC,BC,6,C
236,B,BC,6,BC
237,C,BC,2,E
238,B,A,8,A
239,BC,BC,6,C
240,C,B,1,B
241,BC,AB,5,B
242,C,C,4,E
243,BC,B,10,AB
244,BC,A,2,B
245,C,C,2,D
246,C,C,10,BC
247,C,D,7,BC
248,BC,BC,3,C
249,BC,BC,7,B
250,E,E,4,BC
251,C,D,5,D
252,A,AB,10,AB
253,C,C,7,E
254,C,B,5,AB
255,B,B,3,A
256,AB,C,0,BC
257,D,C,6,E
258,A,AB,10,A
259,BC,BC,5,BC
260,D,C,4,D
261,D,E,1,D
262,BC,BC,3,E
263,D,C,3,AB
264,BC,BC,8,AB
265,C,BC,1,AB
266,E,D,4,E
267,C,C,6,C
268,BC,AB,6,AB
269,AB,AB,9,A
270,C,BC,4,B
271,BC,AB,2,AB
272,BC,BC,6,BC
273,C,C,4,D
274,BC,B,1,AB
275,B,AB,0,AB
276,AB,AB,7,B
277,D,E,5,E
278,BC,BC,3,B
279,C,C,7,C
280,C,AB,3,AB
281,C,C,5,BC
282,C,B,1,AB
283,C,BC,9,B
284,A,A,9,AB
285,E,BC,2,BC
286,B,B,7,B
287,BC,BC,6,BC
288,D,D,3,D
289,BC,D,2,C
290,E,BC,3,C
291,C,C,8,B
292,B,B,7,AB
293,B,AB,3,B
294,D,BC,0,BC
295,A,A,8,AB
296,A,A,8,AB
297,BC,C,3,D
298,AB,A,9,AB
299,BC,B,4,AB
300,A,C,7,C
301,B,A,2,A
302,C,D,1,C
303,D,BC,2,D
304,BC,BC,1,BC
305,AB,A,2,A
306,C,C,4,BC
307,BC,AB,8,AB
308,E,D,2,D
309,AB,A,6,AB
310,A,AB,9,AB
311,B,C,9,AB
312,D,BC,2,A
313,D,BC,6,B
314,C,D,1,BC
315,E,E,3,C
316,BC,BC,2,C
317,D,E,3,E
318,BC,B,10,A
319,C,C,1,AB
320,D,E,1,E
321,E,C,2,BC
322,BC,BC,4,BC
323,E,BC,4,B
324,B,AB,9,A
325,C,C,0,C
326,A,B,8,A
327,D,BC,2,C
328,C,D,4,E
329,A,B,6,A
330,A,A,10,B
331,D,C,1,D
332,BC,C,9,B
333,C,C,5,BC
334,B,A,5,A
335,C,B,2,BC
336,BC,C,7,D
337,BC,C,7,C
338,B,BC,8,BC
339,E,D,3,C
340,D,C,5,BC
341,E,E,4,BC
342,B,A,7,AB
343,C,C,3,D
344,BC,B,8,AB
345,E,C,4,BC
346,C,D,4,BC
347,AB,AB,7,A
348,D,BC,1,BC
349,D,C,3,C
350,C,E,3,BC
351,E,E,6,E
352,BC,C,4,C
353,D,E,6,BC
354,C,C,5,C
355,E,BC,1,B
356,C,C,0,BC
357,BC,D,4,D
358,D,C,2,B
359,A,AB,7,AB
360,D,D,3,E
361,C,BC,5,B
362,C,E,5,D
363,BC,A,5,AB
364,E,E,6,D
365,C,C,5,B
366,AB,A,9,A
367,D,BC,1,C
368,D,D,4,E
369,A,B,6,AB
370,E,E,5,BC
371,E,C,5,D
372,BC,C,1,D
373,BC,E,9,E
374,BC,E,9,BC
375,AB,A,10,AB
376,E,C,5,C
377,A,B,8,A
378,C,D,6,C
379,D,D,1,E
380,E,BC,4,D
381,B,A,2,B
382,D,BC,0,BC
383,BC,AB,4,AB
384,BC,BC,5,BC
385,D,C,6,BC
386,BC,BC,7,BC
387,C,C,0,C
388,AB,BC,3,BC
389,BC,C,3,BC
390,C,C,8,C
391,E,C,3,C
392,BC,BC,2,BC
393,BC,B,5,C
394,C,C,8,B
395,AB,B,9,B
396,C,BC,1,C
397,BC,BC,5,B
398,BC,BC,10,A
399,D,C,7,C
400,BC,E,5,D
401,E,BC,1,D
402,D,C,1,C
403,AB,A,7,AB
404,C,AB,5,AB
405,BC,E,7,E
406,B,BC,8,BC
407,BC,D,2,BC
408,BC,C,1,BC
409,D,D,5,D
410,D,C,3,B
411,AB,B,8,B
412,B,B,6,AB
413,A,B,8,B
414,C,C,3,C
415,BC,D,1,BC
416,C,C,3,C
417,B,BC,0,C
418,E,BC,5,C
419,BC,BC,5,B
420,AB,AB,9,A
421,B,C,1,D
422,E,D,4,E
423,C,C,4,D
424,C,BC,2,BC
425,B,C,9,B
426,A,BC,9,BC
427,B,A,1,A
428,B,B,10,A
429,A,B,10,B
430,B,BC,1,AB
431,AB,AB,7,AB
432,C,BC,6,E
433,BC,B,8,AB
434,BC,C,1,C
435,D,C,0,BC
436,A,A,9,AB
437,A,AB,9,A
438,AB,AB,10,AB
439,C,C,6,C
440,C,E,1,E
441,C,C,1,D
442,B,B,7,B
443,BC,BC,6,BC
444,C,C,2,E
445,B,A,8,B
446,C,B,2,A
447,BC,A,6,AB
448,BC,BC,2,A
449,BC,C,7,BC
450,A,AB,7,AB
451,D,C,4,B
452,BC,D,5,C
453,BC,BC,2,C
454,AB,A,9,AB
455,AB,BC,3,B
456,A,A,2,AB
457,B,AB,6,B
458,A,B,9,AB
459,BC,B,2,B
460,C,C,0,C
461,A,AB,7,A
462,C,BC,3,B
463,BC,AB,1,A
464,B,B,5,B
465,E,E,5,D
466,A,A,10,AB
467,C,D,1,D
468,D,D,2,C
469,BC,D,4,D
470,A,A,7,A
471,AB,C,9,BC
472,B,BC,8,AB
473,E,D,3,D
474,C,D,5,E
475,BC,BC,8,BC
476,BC,BC,10,B
477,C,BC,0,D
478,E,D,6,D
479,BC,BC,1,C
480,B,AB,8,A
481,C,BC,8,BC
482,BC,B,8,AB
483,A,B,7,AB
484,E,D,3,D
485,E,E,3,BC
486,A,A,7,AB
487,A,AB,8,A
488,E,D,3,C
489,C,D,6,BC
490,A,A,7,B
491,E,C,3,D
492,E,BC,1,E
493,C,C,1,BC
494,C,AB,2,BC
495,BC,C,8,D
496,D,C,2,C
497,E,BC,4,BC
498,E,D,5,D
499,AB,B,8,B
500,BC,C,4,B
501,B,AB,2,AB
502,BC,BC,8,B
503,C,BC,6,AB
504,BC,B,1,AB
505,BC,C,2,D
506,C,D,2,C
507,D,E,1,D
508,B,BC,6,BC
509,D,E,1,D
510,A,B,8,B
511,A,A,9,B
512,BC,BC,4,B
513,C,E,3,C
514,E,BC,4,E
515,D,E,4,D
516,D,D,4,E
517,BC,BC,0,BC
518,A,A,8,A
519,C,BC,4,D
520,E,C,1,AB
521,AB,C,6,B
522,D,BC,1,A
523,B,B,8,A
524,BC,C,7,C
525,B,BC,8,AB
526,D,C,3,BC
527,BC,BC,1,AB
528,E,C,5,C
529,E,E,0,D
530,B,AB,8,A
531,AB,B,7,B
532,AB,A,9,A
533,B,A,7,B
534,C,BC,2,BC
535,C,AB,2,BC
536,BC,B,5,B
537,A,AB,5,A
538,B,B,8,AB
539,BC,B,6,C
540,D,D,1,BC
541,AB,AB,7,AB
542,C,C,2,C
543,E,D,2,E
544,BC,E,1,C
545,BC,AB,8,A
546,BC,BC,8,BC
547,B,B,9,AB
548,C,AB,10,A
549,C,BC,5,B
550,C,BC,7,B
551,A,A,7,AB
552,C,BC,3,E
553,A,A,5,A
554,BC,E,8,D
555,C,C,4,BC
556,BC,AB,2,AB
557,E,C,4,C
558,C,D,0,D
559,D,E,6,BC
560,BC,BC,8,AB
561,C,AB,3,AB
562,D,D,5,BC
563,A,B,8,AB
564,D,D,6,E
565,AB,A,3,B
566,A,A,7,AB
567,BC,D,8,D
568,B,A,9,A
569,D,D,2,BC
