id,mat100,mat103,waktu_belajar,mat219
1,A,B,8,A
2,A,A,8,A
3,AB,BC,7,B
4,B,A,14,AB
5,BC,B,5,B
6,AB,A,8,AB
7,A,AB,14,B
8,B,A,8,AB
9,A,BC,10,B
10,AB,AB,11,A
11,B,A,9,A
12,A,A,8,A
13,B,A,7,AB
14,A,A,10,A
15,A,A,13,A
16,AB,A,11,AB
17,A,A,10,A
18,A,A,10,A
19,BC,B,6,B
20,A,A,8,A
21,AB,AB,11,A
22,A,A,8,AB
23,AB,AB,11,AB
24,AB,BC,7,B
25,BC,A,2,B
26,BC,A,5,B
27,A,BC,10,B
28,A,A,13,AB
29,AB,AB,14,AB
30,BC,BC,9,C
31,B,AB,12,AB
32,A,A,10,A
33,A,A,8,B
34,A,BC,2,B
35,B,AB,10,B
36,B,A,15,B
37,A,AB,7,AB
38,A,A,15,A
39,A,BC,10,AB
40,BC,BC,7,BC
41,A,A,10,A
42,A,AB,15,AB
43,A,AB,14,A
44,A,B,9,AB
45,A,AB,8,B
46,AB,BC,5,B
47,B,AB,10,AB
48,A,AB,11,A
49,A,AB,10,AB
50,A,BC,7,B
51,A,BC,10,AB
52,B,A,15,B
53,AB,A,11,B
54,A,AB,8,AB
55,A,A,13,A
56,B,AB,9,AB
57,A,A,10,A
58,B,A,15,B
59,BC,B,4,BC
60,AB,A,7,B
61,A,A,10,A
62,AB,A,9,AB
63,AB,A,11,AB
64,AB,A,7,B
65,A,BC,2,B
66,B,AB,15,AB
67,AB,A,13,B
68,A,A,8,A
69,A,A,15,A
70,A,AB,15,B
71,A,AB,9,B
72,A,A,13,A
73,BC,B,6,C
74,AB,B,13,AB
75,A,A,13,A
76,AB,AB,15,AB
77,AB,B,9,AB
78,A,BC,7,BC
79,BC,AB,7,A
80,A,A,15,A
81,AB,AB,11,A
82,A,A,15,A
83,A,A,15,A
84,A,A,8,A
85,A,BC,5,BC
86,A,A,15,A
87,AB,A,7,AB
88,A,A,13,A
89,A,A,13,A
90,BC,A,7,A
91,A,BC,2,B
92,AB,A,12,B
93,BC,A,7,B
94,AB,AB,9,B
95,AB,AB,7,AB
96,A,A,13,A
97,A,AB,15,AB
98,A,AB,12,AB
99,A,A,8,A
100,BC,A,2,A
101,BC,A,7,A
102,A,A,15,A
103,AB,A,12,A
104,A,A,10,A
105,A,AB,11,AB
106,A,A,13,A
107,A,AB,9,B
108,A,A,15,A
109,AB,A,11,A
110,AB,BC,5,B
111,A,AB,7,A
112,AB,A,9,AB
113,A,A,8,A
114,A,A,10,A
115,AB,B,9,AB
116,AB,BC,5,BC
117,AB,A,14,B
118,A,A,10,A
119,AB,AB,8,A
120,BC,B,7,C
121,BC,AB,7,B
122,A,B,14,B
123,A,A,15,A
124,A,A,15,A
125,A,A,15,A
126,BC,A,10,A
127,A,A,8,A
128,A,BC,7,A
129,A,AB,7,AB
130,A,AB,13,A
131,B,AB,15,A
