id,mat100,mat103,stk201,kom101,mat219,jam_belajar,mat232
1,A,AB,A,C,D,6,D
2,D,AB,A,C,A,5,A
3,C,A,A,A,A,4,A
4,BC,A,A,A,A,15,AB
5,C,A,BC,D,A,7,BC
6,A,A,A,BC,A,10,BC
7,A,BC,BC,C,A,15,E
8,A,C,A,A,A,15,AB
9,A,A,A,A,A,16,AB
10,C,A,BC,BC,A,5,A
11,BC,BC,A,BC,A,10,C
12,A,C,A,A,C,5,D
13,A,C,A,C,A,5,D
14,BC,A,A,A,C,7,A
15,BC,A,A,A,BC,6,A
16,A,BC,BC,D,BC,6,BC
17,BC,C,BC,A,A,11,B
18,A,C,A,BC,A,14,AB
19,A,A,A,BC,BC,16,AB
20,A,BC,C,A,BC,7,B
21,A,A,AB,C,A,4,D
22,A,A,C,A,A,9,B
23,A,A,A,A,D,16,AB
24,A,A,A,D,A,8,BC
25,C,A,A,A,A,11,C
26,A,BC,C,BC,BC,11,E
27,A,AB,A,A,C,14,AB
28,C,C,BC,A,D,8,B
29,C,A,BC,A,A,9,B
30,BC,A,B,A,E,10,C
31,A,A,C,A,A,11,B
32,A,A,A,BC,BC,4,D
33,A,D,C,A,BC,12,E
34,D,A,A,A,E,10,C
35,A,A,A,BC,A,16,AB
36,A,E,A,A,A,12,AB
37,A,A,BC,AB,C,15,E
38,E,BC,BC,E,A,9,BC
39,BC,A,BC,A,BC,7,B
40,BC,A,A,D,A,12,C
41,BC,A,A,A,BC,4,A
42,A,BC,A,D,BC,13,AB
43,C,A,BC,BC,D,5,A
44,BC,A,BC,D,BC,4,A
45,B,A,A,BC,BC,7,A
46,A,A,BC,BC,BC,15,E
47,A,A,D,A,BC,6,B
48,BC,BC,BC,A,A,9,B
49,BC,D,A,A,A,14,C
50,C,BC,A,A,A,5,A
51,C,C,A,A,C,13,C
52,BC,BC,BC,C,A,13,E
53,BC,A,A,C,A,7,BC
54,A,BC,A,A,A,7,D
55,BC,A,A,B,BC,11,C
56,A,BC,A,BC,A,13,AB
57,BC,BC,BC,A,A,8,B
58,A,BC,A,A,A,13,AB
59,A,D,C,A,A,12,E
60,C,A,A,A,A,9,C
61,BC,A,D,A,A,8,B
62,A,A,A,D,BC,7,BC
63,D,BC,A,E,A,13,C
64,A,A,BC,BC,BC,8,BC
65,A,E,A,A,BC,8,D
66,A,AB,A,A,BC,5,D
67,D,BC,E,A,A,11,B
68,BC,AB,C,A,BC,13,E
69,A,A,A,BC,A,8,BC
70,A,A,A,D,BC,10,BC
71,A,A,A,A,AB,9,D
72,A,BC,A,A,A,16,AB
73,A,BC,BC,D,C,15,E
74,A,C,D,A,B,10,B
75,D,D,C,AB,A,7,B
76,A,A,C,BC,D,14,E
77,A,B,A,C,A,6,BC
78,BC,D,D,A,BC,5,B
79,A,BC,A,C,AB,13,AB
80,BC,A,A,BC,BC,13,C
81,A,A,C,BC,A,16,E
82,BC,BC,C,BC,A,4,A
83,BC,C,BC,BC,A,13,E
84,C,A,A,C,A,6,A
85,BC,A,BC,A,A,6,A
86,A,A,BC,A,C,8,B
87,A,A,C,C,C,8,BC
88,A,A,A,A,A,5,D
89,A,A,A,A,BC,16,AB
90,B,A,A,A,BC,5,D
91,A,A,C,BC,E,5,D
92,A,A,BC,BC,A,7,BC
93,A,A,A,A,BC,5,D
94,BC,BC,C,D,A,5,BC
95,A,A,BC,C,A,10,BC
96,A,A,A,A,A,13,AB
97,BC,D,A,A,A,13,C
98,C,BC,BC,A,BC,14,E
99,BC,BC,BC,A,BC,14,E
100,A,BC,A,A,A,12,AB
101,AB,BC,B,A,AB,7,B
102,A,C,A,A,C,10,B
103,BC,A,A,A,AB,5,A
104,A,A,C,A,BC,9,B
105,C,BC,BC,AB,BC,10,C
106,A,BC,C,C,A,13,E
107,C,BC,A,A,A,9,C
108,BC,C,BC,D,C,4,A
109,BC,E,A,A,C,7,A
110,A,A,A,A,A,16,AB
111,BC,AB,C,A,C,13,E
112,BC,B,A,A,BC,9,C
113,A,A,A,A,A,13,AB
114,A,BC,A,D,AB,12,AB
115,A,BC,C,BC,BC,14,E
116,C,BC,C,BC,BC,15,E
117,BC,BC,BC,BC,C,15,E
118,B,BC,C,A,A,10,B
119,BC,A,A,A,BC,15,AB
120,A,A,BC,A,BC,6,D
121,A,A,C,A,A,6,B
122,C,A,BC,C,A,4,A
123,A,D,D,A,A,5,B
124,BC,BC,A,AB,C,5,A
125,C,BC,BC,BC,BC,14,E
126,AB,C,A,A,A,12,AB
127,A,BC,A,D,C,4,D
128,A,A,A,E,A,14,AB
129,A,A,A,D,E,14,AB
130,B,A,A,A,BC,8,D
131,C,BC,BC,BC,A,5,A
132,A,D,C,A,A,6,B
133,BC,BC,A,B,A,4,A
134,E,BC,A,A,BC,9,C
135,BC,A,A,C,A,14,AB
136,A,BC,BC,D,D,8,BC
137,A,C,D,A,A,12,E
138,A,BC,D,A,BC,13,E
139,A,A,A,A,A,7,D
140,A,C,BC,A,BC,10,B
141,BC,A,D,A,D,9,B
142,C,A,A,D,A,8,BC
143,D,BC,BC,BC,E,8,A
144,BC,A,A,BC,A,12,C
145,C,A,BC,C,A,6,A
146,A,BC,A,C,A,9,BC
147,A,B,A,A,C,11,AB
148,A,A,C,A,A,9,B
149,A,A,C,C,A,11,BC
150,D,BC,A,A,A,15,C
151,A,AB,A,A,A,16,AB
152,A,BC,A,BC,C,14,AB
153,C,A,A,A,A,12,C
154,A,A,A,C,A,11,BC
155,BC,BC,A,A,A,10,C
156,BC,BC,A,A,A,12,C
157,A,A,BC,BC,A,7,BC
158,AB,B,A,BC,A,11,AB
159,C,C,A,A,C,5,A
160,A,A,BC,BC,A,8,BC
161,C,BC,C,A,BC,5,A
162,A,C,A,A,A,16,AB
163,A,BC,B,C,A,4,D
164,A,A,C,D,A,5,BC
165,A,BC,A,A,BC,9,D
166,C,A,A,A,A,14,C
167,BC,BC,C,BC,A,4,A
168,A,BC,A,A,A,5,D
169,BC,A,A,A,A,7,A
170,A,C,A,A,D,6,D
171,A,BC,C,BC,BC,7,BC
172,C,C,D,C,BC,15,E
173,D,A,A,B,C,10,C
174,BC,A,A,BC,A,14,AB
175,BC,A,A,BC,A,4,A
176,BC,BC,A,A,A,9,C
177,BC,A,D,A,A,13,E
178,D,A,A,A,A,11,C
179,A,A,A,A,C,14,AB
180,A,BC,A,C,C,5,D
181,BC,A,BC,BC,A,15,E
182,A,D,A,AB,A,6,D
183,BC,A,AB,A,A,15,AB
184,C,A,C,C,A,16,E
185,BC,A,A,D,BC,4,A
186,BC,BC,A,BC,C,15,AB
187,A,C,C,A,A,12,E
188,E,A,D,C,BC,16,E
189,A,BC,E,A,A,15,E
190,C,C,BC,A,A,9,B
191,C,A,D,BC,BC,16,E
192,A,A,BC,BC,D,11,BC
193,BC,A,A,A,A,11,C
194,A,A,A,A,A,6,D
195,A,BC,C,A,BC,6,B
196,AB,A,D,C,BC,16,E
197,BC,A,D,AB,BC,9,B
198,BC,B,C,BC,C,15,E
199,BC,BC,A,D,BC,13,AB
200,AB,BC,AB,A,BC,7,D
201,A,BC,BC,BC,AB,12,E
202,A,BC,A,A,A,6,D
203,A,A,C,A,A,4,D
204,BC,C,BC,A,C,6,A
205,BC,A,BC,BC,BC,5,A
206,A,B,A,BC,A,5,D
207,A,A,C,A,BC,14,E
208,A,A,A,BC,A,10,BC
209,AB,C,C,AB,A,8,B
210,C,A,A,BC,BC,6,A
211,AB,A,A,A,C,7,D
212,A,A,A,BC,BC,10,BC
213,D,A,A,A,A,12,C
214,A,A,A,BC,BC,4,D
215,A,BC,A,BC,A,11,AB
216,BC,A,BC,BC,A,10,BC
217,BC,A,BC,A,A,4,A
218,A,A,D,BC,A,14,E
219,A,BC,BC,A,A,11,B
220,BC,C,C,C,BC,10,BC
221,A,BC,BC,BC,A,16,E
222,A,A,A,A,BC,9,D
223,BC,BC,A,A,BC,12,C
224,A,A,A,A,A,9,D
