id,mat100,kom101,kom209,jam_belajar,mat234
1,B,BC,A,5,BC
2,AB,B,BC,8,BC
3,B,B,BC,17,AB
4,AB,BC,BC,18,AB
5,B,AB,BC,7,BC
6,BC,B,BC,18,AB
7,BC,BC,BC,10,BC
8,BC,BC,B,18,AB
9,A,BC,B,8,B
10,BC,BC,BC,1,D
11,BC,AB,B,20,A
12,AB,B,BC,14,AB
13,BC,AB,A,19,A
14,B,BC,B,8,BC
15,BC,B,BC,12,B
16,B,BC,BC,19,AB
17,BC,A,AB,14,AB
18,B,BC,BC,11,B
19,B,A,AB,12,AB
20,AB,BC,BC,3,C
21,BC,B,A,7,BC
22,BC,BC,B,7,BC
23,B,BC,B,14,B
24,B,AB,BC,3,C
25,B,BC,BC,11,B
26,A,B,B,16,AB
27,BC,A,BC,9,B
28,A,A,BC,14,AB
29,BC,BC,BC,5,C
30,A,A,BC,6,B
31,AB,A,AB,17,A
32,AB,A,A,4,B
33,BC,B,AB,10,B
34,BC,AB,BC,18,AB
35,B,BC,BC,11,B
36,BC,AB,BC,2,C
37,AB,BC,BC,4,C
38,BC,BC,BC,17,AB
39,B,BC,BC,2,C
40,AB,A,AB,11,AB
41,BC,B,BC,15,B
42,B,B,BC,13,B
43,BC,BC,B,16,AB
44,BC,AB,BC,12,B
45,B,B,A,19,A
46,BC,BC,B,18,AB
47,B,BC,BC,8,BC
48,BC,BC,B,3,C
49,BC,BC,BC,13,B
50,BC,BC,B,7,BC
51,BC,A,BC,18,AB
52,BC,A,B,1,C
53,B,B,BC,18,AB
54,BC,BC,B,15,B
55,BC,B,B,1,C
56,BC,A,B,9,B
57,B,B,BC,8,BC
58,BC,A,A,15,AB
59,BC,B,BC,13,B
60,BC,A,BC,19,A
61,A,BC,B,15,AB
62,BC,B,BC,10,BC
63,A,A,BC,13,AB
64,BC,BC,AB,16,AB
65,BC,BC,B,2,C
66,A,AB,BC,10,B
67,B,BC,BC,1,C
68,B,B,B,4,BC
69,BC,B,BC,10,BC
70,B,BC,B,16,AB
71,BC,B,B,13,B
72,B,BC,B,6,BC
73,B,A,BC,1,C
74,BC,BC,B,1,C
75,BC,AB,BC,7,BC
76,BC,AB,BC,6,BC
77,BC,BC,BC,17,AB
78,BC,BC,BC,15,B
79,A,B,BC,15,AB
80,BC,A,BC,14,AB
81,BC,B,BC,13,B
82,BC,BC,BC,2,C
83,B,BC,AB,20,A
84,AB,BC,BC,4,C
85,BC,B,A,14,AB
86,BC,A,BC,9,B
87,AB,BC,A,2,BC
88,BC,BC,B,16,AB
89,BC,B,BC,7,BC
90,A,B,B,18,A
91,BC,BC,BC,14,B
92,BC,B,A,13,AB
93,BC,A,BC,11,B
94,A,B,BC,15,AB
95,AB,A,BC,6,BC
96,B,AB,AB,6,BC
97,BC,B,BC,3,C
98,BC,B,BC,6,BC
99,BC,AB,BC,18,AB
100,AB,BC,BC,14,B
101,B,BC,BC,5,C
102,BC,B,B,10,B
103,BC,BC,BC,7,BC
104,A,BC,BC,18,AB
105,B,BC,BC,12,B
106,BC,B,B,6,BC
107,AB,AB,B,13,AB
108,BC,BC,BC,15,B
109,BC,BC,BC,18,AB
110,BC,B,B,16,AB
111,BC,A,BC,4,BC
112,B,AB,BC,2,C
113,BC,BC,BC,13,B
114,B,BC,A,16,AB
115,AB,A,BC,12,AB
116,BC,A,BC,14,AB
117,B,A,BC,8,B
118,B,BC,AB,7,BC
119,A,A,BC,15,AB
120,B,BC,AB,13,B
121,B,B,BC,15,AB
122,A,BC,BC,19,A
123,A,BC,A,9,B
124,B,BC,B,2,C
125,BC,A,BC,12,B
126,B,A,BC,2,C
127,A,B,B,14,AB
