id,stk211,kom205,jam_belajar,kom341
1,D,BC,6,BC
2,D,BC,2,BC
3,A,AB,2,AB
4,E,D,3,D
5,BC,C,5,E
6,C,C,6,BC
7,BC,BC,7,A
8,BC,BC,5,E
9,BC,AB,9,AB
10,C,BC,7,D
11,BC,BC,1,B
12,B,A,9,B
13,A,AB,9,A
14,A,B,8,B
15,D,D,1,E
16,A,A,9,AB
17,C,C,2,C
18,C,C,6,BC
19,C,BC,6,BC
20,E,D,2,C
21,E,BC,3,E
22,BC,B,8,B
23,C,BC,2,BC
24,BC,BC,1,BC
25,D,D,2,C
26,BC,B,10,AB
27,C,BC,4,BC
28,BC,AB,5,A
29,C,C,6,D
30,BC,BC,5,A
31,BC,C,4,D
32,B,BC,8,B
33,E,BC,3,BC
34,D,D,9,E
35,E,BC,4,BC
36,D,C,2,AB
37,A,A,10,A
38,E,BC,8,BC
39,D,C,7,C
40,BC,B,4,C
41,AB,AB,7,A
42,B,A,7,AB
43,BC,A,7,A
44,BC,C,5,C
45,E,E,5,BC
46,C,C,1,C
47,BC,C,3,BC
48,B,C,9,B
49,A,C,3,BC
50,E,C,1,BC
51,AB,AB,9,A
52,E,D,3,E
53,C,B,4,C
54,C,BC,0,B
55,AB,BC,6,BC
56,BC,B,2,BC
57,BC,B,7,B
58,D,BC,4,C
59,BC,B,7,B
60,E,D,3,C
61,BC,BC,2,AB
62,E,E,1,C
63,B,BC,6,BC
64,BC,B,4,B
65,E,D,0,C
66,D,C,5,B
67,C,C,6,E
68,A,A,2,A
69,AB,A,9,A
70,C,B,2,A
71,C,D,7,BC
72,BC,C,8,C
73,C,C,5,C
74,C,C,0,D
75,B,BC,6,BC
76,BC,A,0,C
77,E,D,1,D
78,E,C,4,D
79,B,B,1,B
80,A,B,5,B
81,AB,AB,5,A
82,C,BC,6,BC
83,C,C,4,C
84,E,BC,0,BC
85,AB,B,9,AB
86,B,B,6,A
87,D,BC,1,BC
88,AB,BC,10,B
89,BC,C,4,BC
90,A,A,7,AB
91,BC,C,2,D
92,AB,AB,8,AB
93,D,BC,0,B
94,BC,B,4,BC
95,BC,D,4,D
96,C,D,6,E
97,A,A,10,AB
98,A,C,6,D
99,A,B,8,AB
100,A,B,8,AB
101,B,B,10,AB
102,C,E,1,C
103,B,BC,4,C
104,B,B,7,A
105,BC,BC,3,BC
106,BC,AB,2,B
107,B,AB,1,BC
108,C,E,1,BC
109,BC,D,0,E
110,D,BC,6,B
111,BC,BC,5,B
112,D,E,2,D
113,C,D,6,C
114,B,AB,7,AB
115,AB,BC,9,AB
116,D,E,3,E
117,AB,AB,5,AB
118,C,B,2,B
119,BC,C,0,BC
120,C,D,6,C
121,C,C,3,D
122,D,BC,5,BC
123,D,E,3,E
124,BC,B,5,BC
125,C,C,0,C
126,E,C,5,B
127,C,BC,3,B
128,BC,BC,3,A
129,C,C,9,B
130,D,D,2,D
131,BC,C,0,AB
132,B,BC,7,B
133,C,BC,8,AB
134,B,B,10,A
135,B,B,5,C
136,B,AB,7,AB
137,AB,C,7,C
138,D,C,5,BC
139,D,E,9,E
140,BC,E,5,D
141,C,D,7,D
