id,kom203,kom206,jam_belajar,kom415
1,B,AB,3,AB
2,B,AB,10,A
3,C,BC,2,BC
4,AB,A,9,AB
5,B,AB,8,AB
6,D,C,1,D
7,BC,BC,3,B
8,A,AB,8,B
9,C,BC,4,C
10,D,C,4,D
11,BC,C,2,C
12,C,C,4,BC
13,B,B,9,B
14,BC,BC,3,C
15,E,E,6,BC
16,BC,BC,6,A
17,C,C,0,D
18,C,BC,6,BC
19,BC,C,4,AB
20,B,BC,9,BC
21,D,D,0,C
22,AB,AB,8,AB
23,D,D,5,C
24,BC,AB,2,A
25,BC,C,2,BC
26,C,E,10,E
27,BC,C,8,AB
28,C,C,1,B
29,A,A,7,AB
30,B,AB,2,AB
31,B,C,8,C
32,C,AB,5,B
33,D,E,6,E
34,E,BC,0,A
35,AB,B,7,AB
36,B,AB,8,B
37,BC,BC,1,C
38,B,C,8,BC
39,D,D,2,E
40,AB,AB,7,A
41,A,AB,7,AB
42,BC,BC,3,BC
43,D,C,2,C
44,BC,C,1,C
45,BC,C,1,D
46,C,D,4,BC
47,D,E,1,E
48,A,BC,8,B
49,C,C,4,C
50,C,BC,4,C
51,A,A,4,B
52,D,C,3,D
53,AB,AB,8,A
54,BC,BC,9,B
55,C,BC,1,B
56,B,AB,8,A
57,BC,E,7,D
58,C,E,1,D
59,BC,BC,5,C
60,E,BC,4,BC
61,E,D,5,C
62,BC,B,5,A
63,A,A,9,B
64,AB,BC,9,AB
65,D,E,1,C
66,B,AB,10,AB
67,BC,BC,4,BC
68,E,E,3,BC
69,C,BC,3,E
70,C,BC,9,B
71,C,C,2,C
72,AB,A,9,A
73,A,AB,10,AB
74,BC,BC,4,BC
75,B,B,3,C
76,C,B,0,B
77,BC,BC,0,BC
78,AB,B,9,AB
79,C,B,4,AB
80,D,D,5,C
81,C,D,5,C
82,BC,BC,0,BC
83,BC,E,6,C
84,AB,BC,8,AB
85,BC,B,1,B
86,C,D,7,BC
87,BC,BC,6,BC
88,BC,E,1,D
89,E,C,1,C
90,AB,A,7,AB
91,E,E,1,D
92,BC,BC,1,B
93,B,B,2,C
94,BC,C,4,BC
95,D,E,5,BC
96,BC,BC,2,C
97,BC,BC,3,C
98,D,D,4,D
99,A,AB,8,A
100,D,BC,4,BC
101,BC,C,8,D
102,AB,A,8,AB
103,E,D,4,D
104,A,AB,10,AB
105,C,E,3,D
106,E,E,4,D
107,BC,A,4,AB
108,C,C,4,B
109,E,C,2,BC
110,C,AB,1,AB
111,B,B,8,A
112,B,AB,8,AB
113,C,B,5,B
114,A,B,9,AB
115,D,E,0,E
116,C,C,2,D
117,BC,B,1,AB
118,BC,AB,8,AB
119,E,BC,10,AB
120,C,C,9,BC
121,A,AB,9,AB
122,BC,C,8,BC
123,C,C,8,BC
124,C,C,5,D
125,D,C,9,AB
126,B,B,10,B
127,BC,BC,4,AB
128,D,C,4,B
129,B,B,8,B
130,BC,B,3,B
131,B,A,7,A
132,B,BC,6,E
133,C,AB,0,B
134,C,C,0,D
135,D,D,2,D
136,AB,B,10,AB
137,D,E,5,E
138,D,D,1,D
139,C,C,2,BC
140,BC,A,2,AB
141,A,AB,8,A
142,D,BC,3,BC
143,B,AB,4,B
144,B,C,8,D
145,A,AB,8,AB
146,B,BC,6,BC
147,AB,B,7,AB
148,E,D,1,E
149,C,BC,2,B
150,D,D,4,D
151,E,C,2,D
152,AB,AB,8,AB
153,C,C,2,D
154,BC,BC,2,C
155,C,BC,4,AB
156,BC,B,4,AB
157,B,B,7,B
158,C,E,8,D
159,BC,B,6,AB
160,E,E,7,E
161,AB,A,5,AB
162,A,B,9,A
163,D,C,4,C
164,D,E,4,D
165,AB,A,9,A
166,BC,C,3,C
167,A,AB,8,B
168,C,C,9,B
169,D,C,5,AB
170,BC,BC,2,BC
171,A,BC,10,BC
172,A,BC,8,AB
173,B,BC,5,BC
174,D,BC,5,BC
175,D,C,4,E
176,D,E,3,BC
177,B,AB,10,A
178,B,B,2,C
179,D,D,3,E
180,D,BC,3,BC
181,BC,D,0,C
182,A,AB,8,AB
183,E,C,2,BC
184,BC,D,4,E
185,E,C,3,BC
186,AB,AB,9,B
187,A,A,8,AB
188,C,BC,1,A
189,A,BC,9,AB
190,B,C,2,C
191,BC,BC,9,B
192,AB,AB,10,AB
193,AB,AB,10,AB
194,BC,A,4,A
195,E,C,3,BC
196,E,E,4,C
197,C,D,4,D
198,A,BC,9,BC
199,AB,B,8,AB
200,AB,C,8,B
201,C,D,2,C
202,BC,A,3,AB
203,A,AB,6,AB
204,D,BC,1,C
205,C,C,6,BC
206,B,A,9,A
207,B,C,5,C
208,C,BC,3,B
209,E,D,0,C
210,AB,A,10,A
211,C,C,2,C
212,AB,AB,9,AB
213,A,BC,9,B
214,C,BC,2,E
215,AB,B,8,AB
216,A,AB,8,A
217,AB,BC,7,E
218,E,E,2,D
219,AB,A,6,A
220,B,B,4,BC
221,B,B,8,AB
222,BC,BC,4,E
223,C,D,3,D
224,BC,A,3,B
225,BC,E,5,D
226,C,AB,3,AB
227,E,E,2,E
228,E,D,2,D
229,BC,BC,7,AB
230,D,D,0,E
231,C,D,6,D
232,B,B,7,A
233,AB,B,8,B
234,E,C,3,AB
235,AB,BC,6,B
236,E,BC,1,BC
237,B,BC,8,B
238,C,C,7,BC
239,D,D,4,D
240,E,D,3,D
241,B,AB,4,A
242,B,B,8,B
243,BC,B,2,B
244,D,BC,4,BC
245,B,B,9,B
246,C,C,6,BC
247,B,B,9,AB
248,AB,B,8,AB
249,D,E,6,D
250,BC,B,7,AB
251,D,E,5,C
252,D,D,7,E
253,AB,A,8,A
254,AB,AB,7,AB
255,A,AB,6,A
256,B,A,3,B
257,B,A,2,AB
258,D,C,3,C
259,AB,AB,8,AB
260,B,B,1,AB
261,B,BC,8,B
262,AB,AB,8,AB
263,D,C,2,B
264,C,B,3,B
265,AB,B,9,B
266,AB,BC,9,AB
267,AB,A,10,AB
268,C,BC,0,B
269,C,E,5,E
270,C,AB,6,AB
271,AB,AB,9,A
272,D,D,6,D
273,AB,B,0,BC
274,BC,BC,9,BC
275,D,D,4,BC
276,B,B,2,B
277,A,A,6,A
278,D,D,6,C
279,BC,D,3,D
280,A,AB,7,B
281,C,B,3,AB
282,C,C,8,B
283,BC,A,2,AB
284,C,D,4,C
285,BC,C,3,D
286,AB,A,7,A
287,E,D,4,D
288,D,C,1,BC
289,AB,BC,6,E
290,C,BC,3,BC
291,AB,A,9,AB
