id,mat100,mat103,mat232,mat234,kom101,kom200,jam_belajar,mat431
1,BC,AB,BC,B,B,BC,18,B
2,BC,B,A,AB,BC,B,11,AB
3,BC,A,BC,B,BC,BC,7,BC
4,BC,BC,BC,B,BC,BC,16,B
5,BC,B,BC,B,A,AB,21,AB
6,AB,BC,AB,A,BC,BC,10,AB
7,BC,AB,BC,BC,BC,BC,15,BC
8,B,BC,BC,BC,B,BC,15,B
9,AB,BC,BC,A,BC,B,7,B
10,A,AB,AB,B,B,B,22,A
11,BC,B,BC,AB,BC,BC,10,BC
12,B,BC,B,A,B,B,18,AB
13,BC,B,BC,BC,B,BC,16,B
14,B,BC,A,BC,BC,A,8,AB
15,BC,A,B,A,BC,BC,15,AB
16,BC,BC,BC,B,BC,BC,21,B
17,AB,BC,A,AB,BC,BC,14,AB
18,BC,BC,BC,B,B,A,8,B
19,AB,BC,BC,B,AB,BC,20,B
20,BC,BC,AB,BC,BC,BC,17,B
21,B,BC,BC,A,BC,AB,11,B
22,BC,AB,A,AB,BC,A,9,AB
23,BC,AB,A,A,B,BC,11,AB
24,BC,BC,BC,A,BC,B,20,AB
25,AB,BC,A,BC,AB,B,12,AB
26,BC,BC,AB,BC,BC,B,10,B
27,B,A,B,B,A,B,18,AB
28,BC,AB,BC,BC,BC,B,15,B
29,A,B,AB,BC,A,AB,22,A
30,B,BC,BC,A,A,BC,10,B
31,B,B,BC,B,AB,AB,12,B
32,BC,BC,AB,BC,BC,B,19,AB
33,B,BC,BC,BC,BC,BC,17,B
34,BC,BC,BC,BC,BC,BC,21,B
35,A,B,B,BC,BC,A,10,B
36,BC,BC,B,B,AB,B,16,AB
37,BC,B,BC,AB,BC,B,14,B
38,BC,BC,BC,BC,BC,B,14,BC
39,AB,BC,AB,BC,BC,A,8,B
40,BC,A,A,A,BC,A,15,A
41,BC,BC,BC,BC,BC,BC,18,B
42,BC,BC,BC,BC,BC,BC,11,BC
43,BC,BC,A,BC,BC,A,20,A
44,A,A,B,BC,BC,B,8,B
45,BC,B,BC,BC,B,A,11,B
46,BC,A,BC,BC,BC,BC,14,BC
47,B,B,BC,BC,BC,B,8,BC
48,BC,B,AB,AB,BC,BC,13,AB
49,BC,BC,A,BC,BC,B,21,AB
50,B,AB,BC,B,BC,A,7,B
51,BC,BC,A,BC,B,BC,14,AB
52,B,A,B,B,BC,BC,11,B
53,BC,AB,A,BC,AB,BC,7,AB
54,BC,BC,B,BC,BC,A,10,B
55,BC,BC,BC,AB,A,AB,10,B
56,AB,A,B,B,B,BC,13,B
